epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3677,1.63204,3.2118,1.57982,0.00606,0.55556,0.02035,0.012,1.16844,3.20128,1.23319,4e-05,4e-05,4e-05
2,70.1124,1.48037,3.12912,1.49837,0.00606,0.55556,0.07524,0.05725,1.18554,3.16562,1.21443,9.802e-05,9.802e-05,9.802e-05
3,86.9531,1.53135,3.04512,1.45474,0.00818,0.75,0.17679,0.11636,1.46456,3.12999,1.30247,0.000153664,0.000153664,0.000153664
4,101.172,1.33861,2.56522,1.40141,0.00818,0.75,0.19602,0.11592,1.6207,2.99459,1.31292,0.000206932,0.000206932,0.000206932
5,115.203,1.45763,2.19546,1.3443,0.00939,0.86111,0.2212,0.13333,1.63639,2.87503,1.25308,0.000257824,0.000257824,0.000257824
6,129.063,1.39062,1.96227,1.30858,0.00879,0.80556,0.28885,0.16563,1.59683,2.82688,1.22942,0.00030634,0.00030634,0.00030634
7,143.458,1.40489,1.95233,1.32633,0.00909,0.83333,0.2835,0.18254,1.64901,2.81147,1.30767,0.00035248,0.00035248,0.00035248
8,157.287,1.27791,1.73864,1.24962,0.00848,0.77778,0.2616,0.15792,1.68531,2.83661,1.2873,0.000396244,0.000396244,0.000396244
9,171.193,1.32346,1.82386,1.26214,0.00879,0.80556,0.22525,0.14237,1.61941,2.83915,1.29908,0.000437632,0.000437632,0.000437632
10,184.802,1.26502,1.84718,1.21024,0.81127,0.11111,0.20784,0.13218,1.5612,2.836,1.29267,0.000476644,0.000476644,0.000476644
11,198.678,1.38203,1.67635,1.28076,0.00996,0.44444,0.22294,0.13359,1.72398,2.90814,1.33167,0.00051328,0.00051328,0.00051328
12,212.41,1.39553,1.64788,1.321,0.00727,0.66667,0.21022,0.13148,1.65266,2.91496,1.33332,0.00054754,0.00054754,0.00054754
13,227.171,1.25696,1.48702,1.2362,0.00758,0.69444,0.24069,0.15416,1.61076,2.92471,1.30512,0.000579424,0.000579424,0.000579424
14,240.727,1.18148,1.57431,1.23485,0.00818,0.75,0.21557,0.13735,1.61079,2.91711,1.27144,0.000608932,0.000608932,0.000608932
15,254.603,1.39841,1.75071,1.33464,0.00818,0.75,0.13372,0.0741,1.60851,2.93342,1.29635,0.000636064,0.000636064,0.000636064
16,268.224,1.46314,1.66887,1.38777,0.00818,0.75,0.1879,0.09972,1.65602,2.95195,1.31974,0.00066082,0.00066082,0.00066082
17,282.07,1.29965,1.665,1.26935,0.00818,0.75,0.28824,0.16793,1.63921,2.84677,1.33698,0.0006832,0.0006832,0.0006832
18,295.656,1.32795,1.62089,1.28122,0.01174,0.5,0.31,0.17964,1.70132,2.81048,1.39114,0.000703204,0.000703204,0.000703204
19,309.652,1.27844,1.61536,1.30667,0.85611,0.19444,0.29695,0.17221,1.735,2.78461,1.44214,0.000720832,0.000720832,0.000720832
20,324.559,1.27722,1.40414,1.25832,0.82206,0.19444,0.28883,0.15272,1.69496,2.70825,1.39193,0.000736084,0.000736084,0.000736084
21,338.391,1.2493,1.4593,1.24893,0.76263,0.19444,0.25955,0.13867,1.67555,2.69742,1.36741,0.00074896,0.00074896,0.00074896
22,352.271,1.09975,1.32537,1.15734,0.68354,0.2405,0.2684,0.14489,1.72674,2.64854,1.43866,0.00075946,0.00075946,0.00075946
23,365.933,1.17612,1.35008,1.23862,0.7046,0.27778,0.26938,0.1455,1.80491,2.60888,1.51039,0.000767584,0.000767584,0.000767584
24,379.568,1.1581,1.28925,1.17458,0.76378,0.2699,0.29008,0.17561,1.85455,2.60741,1.57624,0.000773332,0.000773332,0.000773332
25,393.212,1.1912,1.26089,1.16836,0.91076,0.28389,0.30193,0.18569,1.82986,2.58012,1.53213,0.000776704,0.000776704,0.000776704
26,407.017,1.27092,1.38106,1.2446,0.83979,0.29178,0.29564,0.16658,1.81254,2.6396,1.51647,0.0007777,0.0007777,0.0007777
27,420.574,1.26163,1.38437,1.18684,0.8147,0.30556,0.29219,0.17332,1.80072,2.74934,1.51569,0.00077632,0.00077632,0.00077632
28,434.199,1.30654,1.42943,1.28401,0.68107,0.23782,0.26668,0.15323,1.87234,2.7839,1.55109,0.000772564,0.000772564,0.000772564
29,447.951,1.14225,1.26379,1.18839,0.68107,0.23782,0.26668,0.15323,1.87234,2.7839,1.55109,0.000766432,0.000766432,0.000766432
30,462.523,1.22091,1.24305,1.15846,0.83832,0.28859,0.31447,0.16276,1.76762,2.55128,1.50527,0.000757924,0.000757924,0.000757924
31,476.342,1.18849,1.2239,1.12554,0.92222,0.32963,0.34855,0.19462,1.70654,2.3544,1.44137,0.00074704,0.00074704,0.00074704
32,490.146,1.35691,1.51635,1.33729,0.64275,0.33333,0.29308,0.16301,1.69284,2.25069,1.42013,0.00073378,0.00073378,0.00073378
33,504.053,1.15817,1.3667,1.16707,0.64275,0.33333,0.29308,0.16301,1.69284,2.25069,1.42013,0.000718144,0.000718144,0.000718144
34,517.661,1.21302,1.36225,1.29933,0.64852,0.35888,0.30215,0.16627,1.72772,2.28045,1.43862,0.0006932,0.0006932,0.0006932
35,531.452,1.06328,1.08164,1.14043,0.68703,0.33333,0.30014,0.16092,1.84359,2.35589,1.50419,0.0006536,0.0006536,0.0006536
36,544.986,1.11462,1.21304,1.15047,0.6612,0.33333,0.32099,0.17563,1.84819,2.44791,1.48431,0.000614,0.000614,0.000614
37,558.528,1.16384,1.21537,1.16384,0.6612,0.33333,0.32099,0.17563,1.84819,2.44791,1.48431,0.0005744,0.0005744,0.0005744
38,572.185,1.09644,1.08935,1.15683,0.64136,0.30556,0.29041,0.17585,1.76256,2.43342,1.451,0.0005348,0.0005348,0.0005348
39,586.482,1.13802,1.15917,1.15711,0.67355,0.25,0.3172,0.19476,1.70489,2.39139,1.44397,0.0004952,0.0004952,0.0004952
40,600.166,1.11862,1.24638,1.23302,0.64729,0.22222,0.302,0.18506,1.70176,2.40831,1.45086,0.0004556,0.0004556,0.0004556
41,614.273,1.18992,1.57643,1.21409,0.64729,0.22222,0.302,0.18506,1.70176,2.40831,1.45086,0.000416,0.000416,0.000416
42,627.759,1.10865,1.33146,1.14025,0.56457,0.25,0.28228,0.16569,1.75571,2.42473,1.50471,0.0003764,0.0003764,0.0003764
43,640.653,1.07259,1.45026,1.14796,0.66615,0.22222,0.28269,0.16381,1.79799,2.47947,1.53337,0.0003368,0.0003368,0.0003368
44,653.434,1.05061,1.40445,1.14147,0.50008,0.25,0.26804,0.15562,1.80014,2.5081,1.54065,0.0002972,0.0002972,0.0002972
45,666.737,0.98446,1.25724,1.06455,0.50008,0.25,0.26804,0.15562,1.80014,2.5081,1.54065,0.0002576,0.0002576,0.0002576
46,679.494,0.99056,1.34826,1.02852,0.51252,0.25,0.28559,0.16341,1.77861,2.44775,1.5158,0.000218,0.000218,0.000218
47,692.355,1.06698,1.32908,1.1338,0.65065,0.2591,0.32598,0.19802,1.72548,2.33044,1.46541,0.0001784,0.0001784,0.0001784
48,705.194,1.18967,1.4912,1.08305,0.68835,0.30556,0.38188,0.21765,1.67032,2.21731,1.41445,0.0001388,0.0001388,0.0001388
49,718.115,1.00579,1.30296,1.13553,0.68835,0.30556,0.38188,0.21765,1.67032,2.21731,1.41445,9.92e-05,9.92e-05,9.92e-05
50,731.015,0.98739,1.29888,1.14947,0.79635,0.32624,0.4053,0.23993,1.62352,2.1085,1.36146,5.96e-05,5.96e-05,5.96e-05
